id,date,mean_activity,mean_circumplex.arousal,mean_circumplex.valence,mean_mood,std_activity,std_circumplex.arousal,std_circumplex.valence,std_mood,sum_appCat.builtin,sum_appCat.communication,sum_appCat.entertainment,sum_appCat.finance,sum_appCat.game,sum_appCat.office,sum_appCat.other,sum_appCat.social,sum_appCat.travel,sum_appCat.unknown,sum_appCat.utilities,sum_appCat.weather,sum_call,sum_screen,sum_sms,interpolate_mood_bool,interpolate_arousal_bool,interpolate_valence_bool,interpolate_activity_bool,shifted_target_mood_bool,target_mood,Mon,Tue,Wed,Thu,Fri,Sat,Sun
AS14.01,2014-03-20,0.034035909445745506,0.09380151379893913,-0.5279130094487251,-0.6383613357212116,0.03923922550683881,1.6467644679900855,0.8599489746579733,0.5590810810744608,-0.34002304361045704,-0.18512416049787836,-0.4505928216385411,0.0,0.0,0.0,-0.41884589812130935,-0.09745116644060879,0.0,-0.36350879576334916,0.8556162797997355,0.0,-0.8182768124726261,-0.3061944663680604,0.0,1,1,1,0,0.0,-0.7674755807840783,0,0,0,1,0,0,0
AS14.01,2014-03-21,0.1601069564829844,0.28395349557613647,-0.7265097182519745,-0.7674755807840783,0.23620321125131052,0.7954628105960848,0.6661136114876949,0.433062343236205,0.4731914090172982,1.4062517038690745,-0.10701324926519898,-0.3249130684795123,0.0,-0.1364553695568898,0.1605680210394856,1.4136109801619785,0.8532370785886949,0.0,0.918162904334209,0.0,0.586431715605382,2.0588702167191424,0.0,0,0,0,0,0.0,-0.5738042131897781,0,0,0,0,1,0,0
AS14.01,2014-03-22,0.2368802192399581,0.664257459130531,-0.27966712344466343,-0.5738042131897781,0.1661431036259294,0.8503855146202289,1.4894753160243708,0.8661246864724101,-0.2482182820131249,0.911395547183315,-0.5853517836130332,-0.514967058106802,0.0,0.0,-0.19865917204879513,-0.506402465837994,-0.3695070088349069,0.0,0.054552009256763824,0.0,-0.25639340124142285,0.01917391612234846,-0.6219219787581582,0,0,0,0,0.0,-0.1864614780011779,0,0,0,0,0,1,0
AS14.01,2014-03-23,0.112690354582945,0.28395349557613647,0.1671754713626478,-0.1864614780011779,0.1177304763081268,0.7954628105960848,0.6661136114876949,0.8101854577516893,-0.06061073568214589,1.0231956280767402,-0.5848170009097655,-0.3659107342902888,0.0,0.0,-0.2628902361764946,-0.2643148318009413,0.0,0.0,-0.3243420238660832,-0.28263537431626146,0.0,0.15909745218564153,0.0,0,0,0,0,0.0,-0.9611469483783784,0,0,0,0,0,0,1
AS14.01,2014-03-24,0.07896105611559798,0.8544094409077285,-1.0244047814568487,-0.9611469483783784,0.10479250633806751,1.2396392569559551,1.0532180963708082,0.684731686738011,-0.20394506457656583,2.66650007765333,-0.12296515798253273,-0.42797803587680394,0.0,-0.21578617048150273,-0.2787831120358958,0.9549164660805376,0.16309555276065602,0.0,0.3190701249609998,0.0,1.7101985380677884,1.9345090355027261,0.0,0,0,0,0,0.0,-0.23487931989975294,1,0,0,0,0,0,0
AS14.01,2014-03-25,0.09941577905717341,0.5691814682419324,-0.2796671234446634,-0.23487931989975294,0.1464721174707447,0.9507599088859866,0.8599489746579733,0.9271310866551268,-0.11819881554642643,3.7781632629699793,-0.5355076286230505,-0.3682406781704323,0.0,0.0,0.005997436543870067,0.4227065333851264,0.0,0.23082389857925772,0.5102204008133794,0.0,0.0,3.348989928099041,-0.6219219787581582,0,0,0,0,0.0,-0.38013284559547805,0,1,0,0,0,0,0
AS14.01,2014-03-26,0.10061976234804203,-0.09635046797825819,-0.1307195918422263,-0.38013284559547805,0.17793881503020537,1.2396392569559551,0.8158192294336838,0.5303908838713661,-0.1327723391103888,1.849918766625553,-0.2207461460902765,-0.3063068977231804,0.0,0.0,-0.2002953899146074,1.5208659320888298,0.0,0.0,-0.3101489178558037,0.0,0.0,2.199531058072397,0.0,0,0,0,0,0.0,0.007209889593122241,0,0,1,0,0,0,0
AS14.01,2014-03-27,0.15912543295677084,0.28395349557613636,0.1671754713626478,0.007209889593122241,0.22656116958384687,1.0415052977368227,0.6661136114876949,0.0,2.9293863733985654,1.7816484427030297,-0.2313224944253512,-0.13466547320029107,0.0,-0.13165180413292787,-0.29914324318474717,-0.2461837300290516,-0.3555702270335736,0.0,0.32035568534070474,0.0,-0.5373351068570245,2.538639823916755,-0.6219219787581582,0,0,0,0,0.0,-0.5738042131897781,0,0,0,1,0,0,0
AS14.01,2014-03-28,0.09569802163712016,-0.4766544315326528,-0.13071959184222628,-0.5738042131897781,0.16556278269391972,0.5207526488684113,1.6982631516227598,1.1040966693818128,-0.21582075639878118,-0.8236306745836428,-0.1764031364617938,-0.2995440520194976,-0.3042167186394313,0.0,0.1255605690267583,-0.4680275390983415,1.1561786307742554,0.0,0.8514089912843371,0.0,0.3054900099897804,-0.3327372549691142,0.0,0,0,0,0,0.0,0.9755667275646228,0,0,0,0,1,0,0
AS14.01,2014-03-29,0.09117358191536426,0.28395349557613647,0.46507053456752184,0.9755667275646228,0.10463248931201116,0.7954628105960848,0.0,0.6847316867380109,0.1534159411234661,0.03314351540614913,0.47283405399084755,0.0,0.0,0.0,-0.017404284095072702,-0.488946385688438,-0.3484396186206824,-0.2968859927100742,2.1452800643531833,0.0,0.02454830437417877,0.8302370217091761,-0.6219219787581582,0,0,0,0,0.0,0.4913883085788726,0,0,0,0,0,1,0
